time,value
14.6387,57126
14.64803,74507
14.65737,101701
14.66672,120979
14.67605,105105
14.68538,83254
14.69473,62973
14.70407,56066
14.7134,49849
14.72275,49816
14.73208,47815
14.74143,51645
14.75077,53944
14.7601,52379
14.76945,52287
14.77878,59171
14.78812,83746
14.79747,145635
14.8068,227581
14.81613,244336
14.82548,176770
14.83482,104754
14.84415,67953
14.8535,54364
14.86283,56514
14.87217,68809
14.88152,86476
14.89085,93136
14.90018,79537
14.90953,61654
14.91887,57596
14.92822,54124
14.93755,54138
14.94688,54298
14.95623,53280
14.96557,57343
14.9749,68173
14.98425,74532
14.99358,72311
15.00292,64374
15.01227,67109
15.0216,76976
15.03093,76377
15.04028,68419
15.04962,65843
15.05895,76887
15.0683,81292
15.07763,86454
15.08697,85471
15.09632,70418
15.10565,57920
15.115,50629
15.12433,55749
15.13367,68367
15.14302,90360
15.15235,88100
15.16168,70883
15.17103,57491
15.18037,53277
15.1897,57329
15.19905,64648
15.20838,91369
15.21772,139714
15.22707,193498
15.2364,204737
15.24573,158349
15.25508,112801
15.26442,79194
15.27375,63363
15.2831,60392
15.29243,59985
15.30178,57207
15.31112,54725
15.32045,55951
15.3298,59505
15.33913,66865
15.34847,74629
15.35782,72473
15.36715,73008
15.37648,83920
15.38583,94495
15.39517,88597
15.4045,69018
15.41385,54785
15.42318,55436
15.43252,63243
15.44187,67528
15.4512,62458
15.46055,58649
15.46988,55147
15.47922,57753
15.48857,59641
15.4979,61582
15.50723,74287
15.51658,106356
15.52592,167246
15.53525,187196
15.5446,141355
15.55393,91377
15.56327,63241
15.57262,51823
15.58195,51941
15.59128,51840
15.60063,53180
15.60997,56746
15.6193,60862
15.62865,66551
15.63798,76365
15.64733,83517
15.65667,82184
15.666,93102
15.67535,98230
15.68468,93512
15.69402,80661
15.70337,81482
15.7127,103157
15.72203,110539
15.73138,88682
15.74072,71075
15.75005,71145
15.7594,89141
15.76873,106482
15.77807,105699
15.78742,93057
15.79675,78319
15.80608,74491
15.81543,106843
15.82477,202653
15.83412,383293
15.84345,534515
15.85278,581626
15.86213,455755
15.87147,247232
15.8808,131969
15.89015,107178
15.89948,118280
15.90882,133634
15.91817,132802
15.9275,109487
15.93683,84596
15.94618,69624
15.95552,59341
15.96485,60244
15.9742,64419
15.98353,84381
15.99287,118280
16.00222,147066
16.01155,143240
16.0209,104107
16.03023,75766
16.03957,62648
16.04892,66712
16.05825,68490
16.06758,69401
16.07693,69030
16.08627,67905
16.0956,67887
16.10495,64719
16.11428,66452
16.12362,77889
16.13297,87894
16.1423,84936
16.15163,77251
16.16098,73290
16.17032,72423
16.17967,66629
16.189,61425
16.19833,62366
16.20768,68816
16.21702,78923
16.22635,88545
16.2357,88334
16.24503,85881
16.25437,75499
16.26372,72304
16.27305,78302
16.28238,115169
16.29173,249245
16.30107,536672
16.3104,779428
16.31975,666917
16.32908,349592
16.33842,149112
16.34777,82677
16.3571,65031
16.36645,54714
16.37578,52373
16.38512,49917
