D:\Êý¾Ý\20211118\ZS1E-Z-000020.D Fri Nov 19 01:43:17 2021,
Start of data points,
14.61058,48503
14.61992,48308
14.62927,48984
14.6386,58197
14.64793,82032
14.65728,119919
14.66662,139996
14.67595,124279
14.6853,90466
14.69463,67508
14.70397,54987
14.71332,50141
14.72265,48864
14.73198,49022
14.74133,51871
14.75067,53417
14.76,50794
14.76935,54078
14.77868,59893
14.78802,65017
14.79737,76361
14.8067,87075
14.81605,90303
14.82538,77057
14.83472,60453
14.84407,57308
14.8534,50034
14.86273,50420
14.87208,62423
14.88142,88621
14.89075,99933
14.9001,79321
14.90943,63041
14.91877,54462
14.92812,53639
14.93745,54642
14.94678,55936
14.95613,60887
14.96547,71444
14.9748,85068
14.98415,92891
14.99348,82940
15.00283,69926
15.01217,68463
15.0215,76457
15.03085,75449
15.04018,66720
15.04952,68738
15.05887,73779
15.0682,79691
15.07753,86515
15.08688,87879
15.09622,73822
15.10555,55737
15.1149,52130
15.12423,54598
15.13357,73322
15.14292,91544
15.15225,89942
15.16158,70571
15.17093,56095
15.18027,53566
15.18962,54479
15.19895,65733
15.20828,90002
15.21763,133205
15.22697,187334
15.2363,218036
15.24565,202148
15.25498,158165
15.26432,103102
15.27367,70247
15.283,61679
15.29233,58861
15.30168,58743
15.31102,55455
15.32035,54265
15.3297,56492
15.33903,59707
15.34837,66870
15.35772,69810
15.36705,69367
15.3764,78044
15.38573,83615
15.39507,72600
15.40442,60871
15.41375,53334
15.42308,52809
15.43243,58808
15.44177,63624
15.4511,60777
15.46045,57122
15.46978,52607
15.47912,53571
15.48847,53673
15.4978,54394
15.50713,60589
15.51648,94460
15.52582,145639
15.53515,170504
15.5445,132429
15.55383,83978
15.56318,59453
15.57252,49505
15.58185,45673
15.5912,47908
15.60053,47481
15.60987,54529
15.61922,57749
15.62855,63598
15.63788,75047
15.64723,83273
15.65657,83157
15.6659,88887
15.67525,93949
15.68458,85982
15.69392,68706
15.70327,72580
15.7126,94159
15.72195,107711
15.73128,89384
15.74062,64898
15.74997,62795
15.7593,81964
15.76863,99768
15.77798,96598
15.78732,81048
15.79665,68296
15.806,70080
15.81533,103626
15.82467,209276
15.83402,386284
15.84335,541378
15.85268,536742
15.86203,399318
15.87137,216427
15.8807,120727
15.89005,107495
15.89938,116977
15.90873,133503
15.91807,126372
15.9274,99230
15.93675,78782
15.94608,66017
15.95542,58318
15.96477,57517
15.9741,64623
15.98343,80871
15.99278,120033
16.00212,158921
16.01145,154316
16.0208,106053
